"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"V107","15-Oct",81,63,79,73,77,75,57,69,62,79,70,78,81,61,78,80,77,68,69,81,58,58
"V108","16-Oct",80,57,78,77,80,62,66,72,71,76,59,76,83,61,76,84,74,74,70,77,60,59
"V109","17-Oct",82,66,77,80,80,60,64,68,75,75,71,82,69,51,80,85,75,72,80,70,61,60
"V110","18-Oct",66,64,78,71,80,64,68,70,73,81,77,77,67,55,78,80,74,73,76,66,61,60
"V111","19-Oct",63,69,82,66,73,71,71,75,68,83,76,76,65,61,82,67,73,63,73,64,60,59
"V112","20-Oct",68,70,75,60,73,75,73,78,71,83,69,75,66,68,77,59,71,70,73,71,63,63
"V113","21-Oct",79,70,73,64,75,79,71,84,73,80,69,78,72,71,80,63,76,72,77,76,67,66
"V114","22-Oct",81,62,63,73,79,80,64,78,73,67,70,72,68,74,78,68,79,69,70,79,66,65
"V115","23-Oct",69,63,63,57,75,81,59,78,70,70,53,81,62,72,76,70,78,63,72,81,64,64
"V116","24-Oct",73,62,72,59,75,79,68,73,73,56,56,59,54,69,81,73,79,66,74,76,62,62
"V117","25-Oct",73,75,75,64,78,73,60,73,78,54,55,61,67,65,76,76,80,56,77,71,60,59
"V118","26-Oct",75,71,79,69,75,64,68,68,79,61,62,68,70,65,85,77,80,61,84,67,62,62
"V119","27-Oct",75,57,79,75,78,51,69,64,81,63,66,67,59,60,76,79,70,69,84,56,60,59
"V120","28-Oct",81,55,79,73,80,55,75,57,78,62,63,70,50,71,74,74,56,64,77,78,62,62
"V121","29-Oct",82,64,78,72,75,63,75,70,75,64,72,62,59,75,68,59,56,75,73,70,60,60
"V122","30-Oct",82,66,82,75,77,72,68,77,78,69,73,67,65,66,71,61,56,78,68,70,62,62
"V123","31-Oct",81,60,79,75,78,71,60,75,82,70,68,71,67,69,75,65,65,74,63,62,64,63
